dataset,model,accuracy,precision_macro,recall_macro,f1_macro,seconds
KIRC,random_forest,0.9997849809170564,0.9995278294020947,0.9998367354005643,0.999682182726675,4.254873847999988
KIRC,xgboost,0.9987098855023383,0.9978566197325446,0.9985209623992498,0.9981884646868631,21.450346695997723
KIRC,logistic_regression,0.9877439122722141,0.969897379174732,0.9940892829366931,0.9815432203253541,0.39346337400274933
KIRC,support_vector_machine,0.9779067892275439,0.9498800992023315,0.9879888479060795,0.9678285859823971,10.49296903800132
KIRC,naive_bayes,0.6085040047304199,0.6377908818254451,0.8074561988159141,0.6203785891296208,0.14509008200184326
LUAD,random_forest,0.9999481972648155,0.9998250218722659,0.999975805085771,0.9999003900709197,4.246616625998286
LUAD,xgboost,0.9987049316203895,0.9981818229848757,0.9984152782165124,0.9982984521208441,7.5468629999995755
LUAD,logistic_regression,0.9859614587650228,0.9651431224024086,0.9934431782439331,0.9787280303869159,0.31746971100074006
LUAD,support_vector_machine,0.9754973062577704,0.9431773070906814,0.9875149351469368,0.9639527108046643,11.418624537000142
LUAD,naive_bayes,0.73932863655201,0.678373091067303,0.8717279412080025,0.7132868004223675,0.15188995800053817
PRAD,random_forest,1.0,1.0,1.0,1.0,4.530698676997417
PRAD,xgboost,0.9992015057320481,0.9977829326280653,0.9982258640120949,0.99800421820288,8.870223613001144
PRAD,logistic_regression,0.9867678092739406,0.943825485399786,0.9948482224146736,0.968081391739482,0.29037479700127733
PRAD,support_vector_machine,0.9811783493982775,0.9244868260056585,0.9905847754289091,0.9553754064395886,8.173800090997247
PRAD,naive_bayes,0.6451833685051047,0.5435641824196474,0.857646408900381,0.5592971993742557,0.12864045700189308
